"party","constituency","province","language","email","photo"
"Liberal","Fleetwood—Port Kells","British Columbia","English / French","Ken.Hardie@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/HardieKen_Lib.jpg"
"NDP","St. John's East","Newfoundland and Labrador","English","Jack.Harris@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/HarrisJack_NDP.jpg"
"Conservative","Prince Albert","Saskatchewan","English","randy.hoback@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/HobackRandy_CPC.jpg"
"Liberal","Ajax","Ontario","English","Mark.Holland@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/HollandMark_Lib.jpg"
"Liberal","Mount Royal","Quebec","English / French","Anthony.Housefather@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/HousefatherAnthony_Lib.jpg"
"NDP","Algoma—Manitoulin—Kapuskasing","Ontario","English / French","carol.hughes@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/HughesCarol_NDP.jpg"
"Liberal","York South—Weston","Ontario","English","Ahmed.Hussen@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/HussenAhmedD_Lib.jpg"
"Liberal","Long Range Mountains","Newfoundland and Labrador","English","Gudie.Hutchings@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/HutchingsGudie_Lib.jpg"
"Liberal","Alfred-Pellan","Quebec","French / English","Angelo.Iacono@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/IaconoAngelo_Lib.jpg"
"Liberal","Toronto Centre","Ontario","English","marci.ien@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/IenMarci_Lib.jpg"
"Liberal","Markham—Stouffville","Ontario","English","Helena.Jaczek@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/JaczekHelena_Lib.jpg"
"Conservative","Cloverdale—Langley City","British Columbia","English","tamara.jansen@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/JansenTamara_CPC.jpg"
"Conservative","Edmonton Riverbend","Alberta","English","Matt.Jeneroux@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/JenerouxMatt_CPC.jpg"
"NDP","Courtenay—Alberni","British Columbia","English","Gord.Johns@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/JohnsGord_NDP.jpg"
"Liberal","Ahuntsic-Cartierville","Quebec","French / English","Melanie.Joly@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/JolyMélanie_Lib.jpg"
"Liberal","Labrador","Newfoundland and Labrador","English","Yvonne.Jones@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/JonesYvonne_Lib.jpg"
"Liberal","South Shore—St. Margarets","Nova Scotia","English","Bernadette.Jordan@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/JordanBernadette_Lib.jpg"
"Liberal","Richmond Hill","Ontario","English","Majid.Jowhari@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/JowhariMajid_Lib.jpg"
"NDP","New Westminster—Burnaby","British Columbia","English","peter.julian@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/JulianPeter_NDP.jpg"
"Liberal","Cape Breton—Canso","Nova Scotia","English / French","Mike.Kelloway@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/KellowayMike_Lib.jpg"
"Conservative","Calgary Rocky Ridge","Alberta","English","Pat.Kelly@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/KellyPat_CPC.jpg"
"Conservative","Thornhill","Ontario","English","peter.kent@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/KentPeter_CPC.jpg"
"Liberal","Mississauga—Erin Mills","Ontario","English / French","Iqra.Khalid@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/KhalidIqra_Lib.jpg"
"Liberal","Brampton West","Ontario","English","Kamal.Khera@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/KheraKamal_Lib.jpg"
"Conservative","Souris—Moose Mountain","Saskatchewan","English","Robert.Kitchen@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/KitchenRobert_CPC.jpg"
"Conservative","Calgary Shepard","Alberta","English / French","Tom.Kmiec@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/KmiecTom_CPC.jpg"
"Liberal","Vimy","Quebec","French / English","Annie.Koutrakis@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/KoutrakisAnnie_Lib.jpg"
"Conservative","Regina—Wascana","Saskatchewan","English","Michael.Kram@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/KramMichael_CPC.jpg"
"Conservative","Battle River—Crowfoot","Alberta","English","Damien.Kurek@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/KurekDamien_CPC.jpg"
"Conservative","Calgary Midnapore","Alberta","English / French","Stephanie.Kusie@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/KusieStephanie_CPC.jpg"
"Liberal","Windsor—Tecumseh","Ontario","English","Irek.Kusmierczyk@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/KusmierczykIrek_Lib.jpg"
"NDP","Vancouver East","British Columbia","English","Jenny.Kwan@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/KwanJenny_NDP.jpg"
"Conservative","Edmonton—Wetaskiwin","Alberta","English","mike.lake@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LakeMike_CPC.jpg"
"Liberal","Orléans","Ontario","French","Marie-France.Lalonde@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LalondeMarieFrance_Lib.jpg"
"Liberal","Saint-Laurent","Quebec","English / French","Emmanuella.Lambropoulos@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LambropoulosEmmanuella_Lib.jpg"
"Liberal","LaSalle—Émard—Verdun","Quebec","English / French","David.Lametti@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LamettiDavid_Lib.jpg"
"Liberal","Winnipeg North","Manitoba","English","kevin.lamoureux@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LamoureuxKevin_Lib.jpg"
"Bloc Québécois","Shefford","Quebec","French","Andreanne.Larouche@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LaroucheAndréanne_BQ.jpg"
"Liberal","Saint-Léonard—Saint-Michel","Quebec","English / French","Patricia.Lattanzio@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LattanzioPatricia_Lib.jpg"
"Liberal","Argenteuil—La Petite-Nation","Quebec","French / English","Stephane.Lauzon@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LauzonStéphane_Lib.jpg"
"Conservative","Northumberland—Peterborough South","Ontario","English","Philip.Lawrence@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LawrencePhilip_CPC.jpg"
"Liberal","Beauséjour","New Brunswick","French / English","dominic.leblanc@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LeblancDominic_Lib.jpg"
"Liberal","Gaspésie—Les Îles-de-la-Madeleine","Quebec","French","Diane.Lebouthillier@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LebouthillierDiane_Lib.jpg"
"Liberal","Sudbury","Ontario","French / English","Paul.Lefebvre@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LefebvrePaul_Lib.jpg"
"Conservative","Beauce","Quebec","French","Richard.Lehoux@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LehouxRichard_CPC.jpg"
"Bloc Québécois","Abitibi—Témiscamingue","Quebec","French","Sebastien.Lemire@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LemireSébastien_BQ.jpg"
"Conservative","Essex","Ontario","English","Chris.Lewis@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LewisChris_CPC.jpg"
"Conservative","Calgary Signal Hill","Alberta","English","Ron.Liepert@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LiepertRon_CPC.jpg"
"Liberal","Louis-Hébert","Quebec","French / English","Joel.Lightbound@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LightboundJoel_Lib.jpg"
"Conservative","Sturgeon River—Parkland","Alberta","English","Dane.Lloyd@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LloydDane._CPC.jpg"
"Conservative","Huron—Bruce","Ontario","English","ben.lobb@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LobbBen_CPC.jpg"
"Liberal","Saint John—Rothesay","New Brunswick","English / French","Wayne.Long@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LongWayne_Lib.jpg"
"Liberal","Guelph","Ontario","English / French","Lloyd.Longfield@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LongfieldLloyd_Lib.jpg"
"Liberal","Kitchener—Conestoga","Ontario","English","Tim.Louis@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LouisTim_Lib.jpg"
"Conservative","Moose Jaw—Lake Centre—Lanigan","Saskatchewan","English","tom.lukiwski@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/LukiwskiTom_CPC.jpg"
"Liberal","Cardigan","Prince Edward Island","English","lawrence.macaulay@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MacAulayLawrence_Lib.jpg"
"NDP","Cowichan—Malahat—Langford","British Columbia","English","Alistair.MacGregor@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MacGregorAlistair_NDP.jpg"
"Conservative","Oxford","Ontario","English","dave.mackenzie@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MacKenzieDave_CPC.jpg"
"Liberal","Gatineau","Quebec","French / English","Steven.MacKinnon@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MacKinnonSteven_Lib.jpg"
"Conservative","Brandon—Souris","Manitoba","English","Larry.Maguire@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MaguireLarry_CPC.jpg"
"Liberal","Etobicoke—Lakeshore","Ontario","English","James.Maloney@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MaloneyJames_Lib.jpg"
"Green Party","Nanaimo—Ladysmith","British Columbia","English","Paul.Manly@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ManlyPaul_GP.jpg"
"Bloc Québécois","Mirabel","Quebec","French","Simon.Marcil@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MarcilSimon_BQ.jpg"
"Conservative","Chicoutimi—Le Fjord","Quebec","French","Richard.Martel@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MartelRichard_CPC.jpg"
"Liberal","Hochelaga","Quebec","French / English","Soraya.MartinezFerrada@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MartinezFerradaSoraya_Lib.jpg"
"NDP","Windsor West","Ontario","English","brian.masse@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MasseBrian_NDP.jpg"
"NDP","London—Fanshawe","Ontario","English / French","Lindsay.Mathyssen@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MathyssenLindsay_NDP.jpg"
"Liberal","Cambridge","Ontario","English","Bryan.May@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MayBryan_Lib.jpg"
"Green Party","Saanich—Gulf Islands","British Columbia","English","Elizabeth.May@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MayElizabeth_GP.jpg"
"Conservative","Dauphin—Swan River—Neepawa","Manitoba","English","Dan.Mazier@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MazierDan_CPC.jpg"
"Conservative","Edmonton West","Alberta","English","Kelly.McCauley@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/McCauleyKelly_CPC.jpg"
"Conservative","Brantford—Brant","Ontario","English","phil.mccoleman@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/McColemanPhil_CPC.jpg"
"Liberal","Kanata—Carleton","Ontario","English","Karen.McCrimmon@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/McCrimmonKaren_Lib.jpg"
"Liberal","Avalon","Newfoundland and Labrador","English","Ken.McDonald@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/McDonaldKen_Lib.jpg"
"Liberal","Ottawa South","Ontario","English","david.mcguinty@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/McGuintyDavidJ_Lib.jpg"
"Liberal","Scarborough—Guildwood","Ontario","English","john.mckay@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/McKayJohn_Lib.jpg"
"Liberal","Ottawa Centre","Ontario","English / French","Catherine.McKenna@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/McKennaCatherine_Lib.jpg"
"Liberal","Coquitlam—Port Coquitlam","British Columbia","English","Ron.McKinnon@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/McKinnonRon_Lib.jpg"
"Conservative","Calgary Centre","Alberta","English","greg.mclean@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/McLeanGreg_CPC.jpg"
"Conservative","Kamloops—Thompson—Cariboo","British Columbia","English","cathy.mcleod@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/McLeodCathy_CPC.jpg"
"Liberal","Northwest Territories","Northwest Territories","English","Michael.McLeod@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/McLeodMichaelV_Lib.jpg"
"NDP","Edmonton Strathcona","Alberta","English","Heather.McPherson@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/McPhersonHeather_NDP.jpg"
"Conservative","Kenora","Ontario","English","Eric.Melillo@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MelilloEric_CPC.jpg"
"Liberal","Brossard—Saint-Lambert","Quebec","French / English","Alexandra.Mendes@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MendèsAlexandra_Lib.jpg"
"Liberal","Eglinton—Lawrence","Ontario","English / French","Marco.Mendicino@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MendicinoMarco_Lib.jpg"
"Bloc Québécois","Avignon—La Mitis—Matane—Matapédia","Quebec","French","Kristina.Michaud@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MichaudKristina_BQ.jpg"
"Liberal","Ville-Marie—Le Sud-Ouest—Île-des-Soeurs","Quebec","French / English","Marc.Miller@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MillerMarc_Lib.jpg"
"Liberal","Peterborough—Kawartha","Ontario","English","Maryam.Monsef@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MonsefMaryam_Lib.jpg"
"Conservative","Fundy Royal","New Brunswick","English","Rob.Moore@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MooreRob_CPC.jpg"
"Conservative","Charleswood—St. James—Assiniboia—Headingley","Manitoba","English","Marty.Morantz@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MorantzMarty_CPC.jpg"
"Conservative","Kootenay—Columbia","British Columbia","English","Rob.Morrison@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MorrisonRob_CPC.jpg"
"Liberal","Egmont","Prince Edward Island","English","Robert.Morrissey@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MorrisseyRobert_Lib.jpg"
"Conservative","Medicine Hat—Cardston—Warner","Alberta","English","Glen.Motz@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MotzGlen_CPC.jpg"
"Liberal","Vancouver Quadra","British Columbia","English","joyce.murray@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/MurrayJoyce_Lib.jpg"
"Conservative","Perth—Wellington","Ontario","English","John.Nater@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/NaterJohn_CPC.jpg"
"Liberal","Markham—Thornhill","Ontario","English / French","Mary.Ng@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/NgMary_Lib.jpg"
"Bloc Québécois","Saint-Jean","Quebec","French","Christine.Normandin@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/NormandinChristine_BQ.jpg"
"Liberal","Pickering—Uxbridge","Ontario","English / French","Jennifer.OConnell@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/OConnellJennifer_Lib.jpg"
"Liberal","Don Valley West","Ontario","English","Rob.Oliphant@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/OliphantRobert_Lib.jpg"
"Liberal","St. John's South—Mount Pearl","Newfoundland and Labrador","English / French","Seamus.ORegan@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/OReganSeamus_Lib.jpg"
"Conservative","Durham","Ontario","English","Erin.OToole@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/OTooleErin_CPC.jpg"
"Conservative","Cypress Hills—Grasslands","Saskatchewan","English / French","Jeremy.Patzer@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/PatzerJeremy_CPC.jpg"
"Conservative","Charlesbourg—Haute-Saint-Charles","Quebec","French","Pierre.Paul-Hus@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/PaulHusPierre_CPC.jpg"
"Bloc Québécois","Repentigny","Quebec","French","Monique.Pauze@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/PauzéMonique_BQ.jpg"
"Bloc Québécois","Berthier—Maskinongé","Quebec","French","Yves.Perron@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/PerronYves_BQ.jpg"
"Liberal","Moncton—Riverview—Dieppe","New Brunswick","English / French","Ginette.PetitpasTaylor@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/PetitpasTaylorGinette_Lib.jpg"
"Bloc Québécois","Bécancour—Nicolet—Saurel","Quebec","French","louis.plamondon@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/PlamondonLouis_PQ.jpg"
"Conservative","Carleton","Ontario","English","pierre.poilievre@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/PoilievrePierre_CPC.jpg"
"Liberal","Thunder Bay—Rainy River","Ontario","English / French","Marcus.Powlowski@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/PowlowskiMarcus_Lib.jpg"
"NDP","Nunavut","Nunavut","English","Mumilaaq.Qaqqaq@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/QaqqaqMumilaaq_NDP.jpg"
"Liberal","Delta","British Columbia","English / French","Carla.Qualtrough@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/QualtroughCarla_Lib.jpg"
"Independent","Don Valley East","Ontario","English / French","Yasmin.Ratansi@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/RatansiYasmin_Lib.jpg"
"Conservative","Richmond—Arthabaska","Quebec","French","Alain.Rayes@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/RayesALain_CPC.jpg"
"Conservative","Saskatoon West","Saskatchewan","English","Brad.Redekopp@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/RedekoppBrad_CPC.jpg"
"Liberal","Halifax West","Nova Scotia","English","geoff.regan@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ReganGeoff_Lib.jpg"
"Conservative","Lanark—Frontenac—Kingston","Ontario","English","scott.reid@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ReidScott_CPC.jpg"
"Conservative","Calgary Nose Hill","Alberta","English","Michelle.Rempel@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/RempelMichelle_CPC.jpg"
"Conservative","Banff—Airdrie","Alberta","English","blake.richards@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/RichardsBlake_CPC.jpg"
"Liberal","Marc-Aurèle-Fortin","Quebec","French / English","Yves.Robillard@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/RobillardYves_Lib.jpg"
"Liberal","Honoré-Mercier","Quebec","French / English","Pablo.Rodriguez@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/RodriguezPablo_Lib.jpg"
"Liberal","Bonavista—Burin—Trinity","Newfoundland and Labrador","English","Churence.Rogers@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/RogersChurence_Lib.jpg"
"Liberal","Longueuil—Charles-LeMoyne","Quebec","French / English","Sherry.Romanado@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/RomanadoSherry_Lib.jpg"
"Conservative","Lambton—Kent—Middlesex","Ontario","English","Lianne.Rood@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/RoodLianne_CPC.jpg"
"Liberal","Nipissing—Timiskaming","Ontario","English / French","Anthony.Rota@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/RotaAnthony_Lib.jpg"
"Conservative","Bruce—Grey—Owen Sound","Ontario","English","Alex.Ruff@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/RuffAlex_CPC.jpg"
"Conservative","Calgary Skyview","Alberta","English","Jag.Sahota@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SahotaJag_CPC.jpg"
"Liberal","Brampton North","Ontario","English","Ruby.Sahota@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SahotaRuby_Lib.jpg"
"Liberal","Kitchener Centre","Ontario","English / French","Raj.Saini@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SainiRaj_Lib.jpg"
"Liberal","Vancouver South","British Columbia","English","Harjit.Sajjan@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SajjanHarjitS_Lib.jpg"
"Liberal","York Centre","Ontario","English","yaara.saks@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SaksYaara_Lib.jpg"
"Liberal","Sackville—Preston—Chezzetcook","Nova Scotia","French / English","Darrell.Samson@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SamsonDarrell_Lib.jpg"
"Independent","Brampton Centre","Ontario","English / French","Ramesh.Sangha@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SanghaRamesh_Lib.jpg"
"Liberal","Surrey Centre","British Columbia","English / French","Randeep.Sarai@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SaraiRandeep_Lib.jpg"
"Conservative","Markham—Unionville","Ontario","English / French","Bob.Saroya@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SaroyaBob_CPC.jpg"
"Bloc Québécois","Saint-Hyacinthe—Bagot","Quebec","French","Simon-Pierre.Savard-Tremblay@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SavardTremblaySimonPIerre_BQ.jpg"
"Liberal","Lac-Saint-Louis","Quebec","English","francis.scarpaleggia@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ScarpaleggiaFrancis_Lib.jpg"
"Conservative","Regina—Qu'Appelle","Saskatchewan","English / French","andrew.scheer@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/ScheerAndrew_CPC.jpg"
"Liberal","Vaudreuil—Soulanges","Quebec","English / French","Peter.Schiefke@parl.gc.ca","https://www.ourcommons.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/SchiefkePeter_Lib.jpg"
